Monthly averages of Solar 10.7 cm flux
 Year   Mon   Obsflux    Adjflux    Absflux
 1961    9     112.72     113.94     102.54
 1961   10      96.65      96.02      86.44
 1961   11      90.28      88.29      79.45
 1961   12      94.78      91.82      82.64
 1962    1      91.73      88.82      79.95
 1962    2     102.17      99.76      89.79
 1962    3     100.31      99.34      89.41
 1962    4      96.14      96.87      87.18
 1962    5      97.83     100.04      90.04
 1962    6      90.97      93.85      84.45
 1962    7      77.88      80.42      72.37
 1962    8      77.28      79.20      71.28
 1962    9      89.45      90.41      81.37
 1962   10      87.75      87.18      78.46
 1962   11      84.81      82.96      74.67
 1962   12      81.94      79.42      71.48
 1963    1      76.84      74.39      66.95
 1963    2      79.67      77.72      69.96
 1963    3      77.82      77.02      69.30
 1963    4      79.38      79.94      71.94
 1963    5      87.72      89.68      80.70
 1963    6      83.51      86.16      77.54
 1963    7      75.93      78.41      70.57
 1963    8      80.87      82.90      74.62
 1963    9      85.09      85.98      77.39
 1963   10      85.05      84.47      76.04
 1963   11      81.62      79.85      71.84
 1963   12      78.39      75.96      68.35
 1964    1      72.95      70.63      63.57
 1964    2      76.75      74.92      67.42
 1964    3      75.82      75.09      67.58
 1964    4      72.57      73.10      65.78
 1964    5      69.45      71.02      63.92
 1964    6      69.04      71.25      64.12
 1964    7      67.03      69.22      62.30
 1964    8      69.29      71.00      63.90
 1964    9      70.14      70.86      63.78
 1964   10      73.32      72.81      65.53
 1964   11      73.69      72.06      64.85
 1964   12      78.78      76.31      68.68
 1965    1      78.55      76.05      68.45
 1965    2      75.16      73.36      66.03
 1965    3      74.08      73.35      66.02
 1965    4      71.98      72.51      65.25
 1965    5      78.15      79.92      71.94
 1965    6      76.97      79.41      71.48
 1965    7      74.35      76.78      69.09
 1965    8      74.70      76.55      68.90
 1965    9      76.52      77.31      69.58
 1965   10      80.14      79.63      71.66
 1965   11      77.64      75.94      68.34
 1965   12      77.73      75.30      67.77
 1966    1      87.87      85.08      76.56
 1966    2      84.21      82.19      73.96
 1966    3      90.28      89.42      80.49
 1966    4      97.16      97.84      88.06
 1966    5      98.53     100.75      90.68
 1966    6      96.30      99.35      89.43
 1966    7     106.67     110.13      99.13
 1966    8     106.60     109.21      98.30
 1966    9     110.88     112.02     100.83
 1966   10     108.58     107.86      97.08
 1966   11     113.31     110.83      99.76
 1966   12     124.57     120.69     108.62
 1967    1     147.74     143.04     128.73
 1967    2     147.02     143.49     129.13
 1967    3     160.59     158.95     143.04
 1967    4     129.88     130.78     117.70
 1967    5     142.96     146.24     131.62
 1967    6     120.23     124.01     111.62
 1967    7     140.33     144.88     130.39
 1967    8     153.74     157.55     141.80
 1967    9     132.08     133.50     120.16
 1967   10     136.06     135.15     121.63
 1967   11     145.30     142.10     127.88
 1967   12     163.04     157.94     142.13
 1968    1     189.12     183.07     164.77
 1968    2     173.18     168.96     152.07
 1968    3     142.63     141.26     127.14
 1968    4     129.48     130.42     117.38
 1968    5     154.88     158.41     142.57
 1968    6     142.28     146.81     132.14
 1968    7     137.16     141.63     127.46
 1968    8     142.17     145.70     131.12
 1968    9     140.95     142.38     128.15
 1968   10     152.48     151.36     136.23
 1968   11     138.54     135.49     121.93
 1968   12     148.44     143.79     129.40
 1969    1     152.65     147.77     132.99
 1969    2     155.21     151.56     136.41
 1969    3     172.25     170.65     153.59
 1969    4     155.50     156.56     140.91
 1969    5     145.43     148.71     133.84
 1969    6     162.15     167.28     150.56
 1969    7     136.61     141.07     126.96
 1969    8     143.02     146.57     131.92
 1969    9     137.31     138.72     124.84
 1969   10     154.02     152.89     137.60
 1969   11     156.69     153.17     137.86
 1969   12     143.64     139.13     125.21
 1970    1     158.27     153.24     137.92
 1970    2     175.44     171.28     154.15
 1970    3     158.36     156.76     141.07
 1970    4     161.99     163.06     146.75
 1970    5     168.38     172.15     154.93
 1970    6     154.93     159.86     143.87
 1970    7     151.99     156.96     141.25
 1970    8     138.21     141.62     127.47
 1970    9     143.24     144.76     130.29
 1970   10     148.31     147.25     132.54
 1970   11     162.03     158.49     142.63
 1970   12     152.75     147.99     133.20
 1971    1     162.58     157.41     141.66
 1971    2     137.79     134.46     121.01
 1971    3     111.93     110.77      99.70
 1971    4     116.67     117.48     105.73
 1971    5     109.91     112.33     101.10
 1971    6     101.65     104.88      94.39
 1971    7     117.35     121.19     109.07
 1971    8     114.07     116.90     105.21
 1971    9     104.04     105.13      94.62
 1971   10     107.17     106.46      95.81
 1971   11     114.02     111.51     100.37
 1971   12     124.54     120.64     108.58
 1972    1     114.78     111.12     100.01
 1972    2     141.79     138.45     124.59
 1972    3     128.48     127.17     114.46
 1972    4     112.89     113.71     102.34
 1972    5     129.59     132.53     119.28
 1972    6     135.43     139.73     125.76
 1972    7     122.00     126.00     113.39
 1972    8     125.73     128.83     115.94
 1972    9     113.65     114.83     103.35
 1972   10     121.10     120.20     108.18
 1972   11     101.64      99.39      89.45
 1972   12     102.90      99.67      89.70
 1973    1     102.21      98.96      89.06
 1973    2      98.67      96.30      86.66
 1973    3     100.39      99.38      89.44
 1973    4     105.03     105.77      95.19
 1973    5      96.98      99.15      89.23
 1973    6      91.24      94.15      84.73
 1973    7      84.47      87.23      78.50
 1973    8      82.88      84.93      76.43
 1973    9     105.64     106.76      96.08
 1973   10      87.73      87.14      78.42
 1973   11      81.52      79.71      71.74
 1973   12      84.17      81.54      73.39
 1974    1      83.10      80.44      72.39
 1974    2      80.85      78.90      71.02
 1974    3      79.22      78.42      70.56
 1974    4      86.08      86.69      78.02
 1974    5      90.60      92.58      83.31
 1974    6      86.26      88.98      80.08
 1974    7      92.48      95.51      85.96
 1974    8      82.99      85.08      76.55
 1974    9      87.77      88.71      79.83
 1974   10      97.63      97.07      87.36
 1974   11      90.29      88.31      79.49
 1974   12      81.12      78.58      70.73
 1975    1      77.48      75.02      67.50
 1975    2      74.19      72.38      65.14
 1975    3      72.38      71.64      64.47
 1975    4      70.74      71.23      64.09
 1975    5      70.07      71.61      64.46
 1975    6      69.70      71.91      64.71
 1975    7      77.18      79.71      71.74
 1975    8      90.39      92.69      83.42
 1975    9      79.55      80.43      72.41
 1975   10      75.74      75.27      67.74
 1975   11      80.84      79.08      71.17
 1975   12      74.60      72.28      65.06
 1976    1      74.75      72.35      65.12
 1976    2      70.55      68.86      61.96
 1976    3      76.66      75.95      68.35
 1976    4      76.28      76.84      69.16
 1976    5      70.64      72.22      65.00
 1976    6      70.57      72.81      65.53
 1976    7      67.55      69.76      62.77
 1976    8      74.76      76.62      68.96
 1976    9      73.08      73.85      66.46
 1976   10      75.92      75.39      67.86
 1976   11      72.88      71.27      64.14
 1976   12      76.72      74.32      66.89
 1977    1      77.42      74.96      67.46
 1977    2      82.29      80.31      72.28
 1977    3      76.55      75.79      68.21
 1977    4      77.62      78.17      70.36
 1977    5      79.65      81.43      73.28
 1977    6      91.54      94.44      85.00
 1977    7      81.05      83.70      75.33
 1977    8      84.26      86.34      77.71
 1977    9     100.20     101.22      91.10
 1977   10      96.92      96.30      86.66
 1977   11      93.70      91.65      82.48
 1977   12     102.08      98.90      89.01
 1978    1     109.57     106.10      95.48
 1978    2     145.44     141.91     127.72
 1978    3     141.78     140.27     126.25
 1978    4     149.37     150.48     135.43
 1978    5     146.49     149.73     134.75
 1978    6     142.20     146.73     132.05
 1978    7     131.09     135.38     121.84
 1978    8     114.05     116.89     105.20
 1978    9     157.90     159.59     143.63
 1978   10     158.19     157.15     141.44
 1978   11     151.53     148.27     133.44
 1978   12     175.49     170.04     153.04
 1979    1     202.99     196.53     176.87
 1979    2     204.12     199.17     179.25
 1979    3     185.82     183.95     165.56
 1979    4     173.75     174.95     157.46
 1979    5     165.20     168.83     151.95
 1979    6     180.31     185.96     167.37
 1979    7     165.95     171.39     154.24
 1979    8     172.72     176.96     159.25
 1979    9     200.24     202.29     182.07
 1979   10     217.87     216.47     194.83
 1979   11     231.75     226.86     204.16
 1979   12     203.53     197.22     177.50
 1980    1     206.16     199.56     179.62
 1980    2     199.99     195.09     175.59
 1980    3     168.08     166.47     149.82
 1980    4     207.90     209.41     188.46
 1980    5     224.03     229.15     206.25
 1980    6     193.16     199.32     179.40
